epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2656,1.58925,4.29125,1.30228,0,0,0,0,1.23389,4.57861,1.17108,2.5e-05,2.5e-05,2.5e-05
2,86.0174,1.36587,4.181,1.13541,0,0,0,0,1.00567,4.41619,0.98586,6.12625e-05,6.12625e-05,6.12625e-05
3,160.73,1.11969,3.91438,0.95208,0,0,0,0,0.87899,4.14495,0.9112,9.604e-05,9.604e-05,9.604e-05
4,212.548,0.98816,3.64605,0.91419,0.00162,0.125,0.00246,0.00139,0.83912,4.05873,0.89477,0.000129332,0.000129332,0.000129332
5,260.858,0.99865,3.34603,0.91096,0.00223,0.1875,0.17091,0.13195,0.81154,3.99064,0.87606,0.00016114,0.00016114,0.00016114
6,317.963,1.01456,3.02052,0.89564,0.00483,0.375,0.1425,0.11237,0.867,3.95884,0.85816,0.000191463,0.000191463,0.000191463
7,362.82,1.05074,2.77468,0.90413,0.00888,0.625,0.21991,0.18624,0.81867,3.89622,0.85487,0.0002203,0.0002203,0.0002203
8,421.514,1.00332,2.54704,0.91766,0.0092,0.625,0.2231,0.17619,0.81036,3.85477,0.84707,0.000247653,0.000247653,0.000247653
9,475.929,1.06033,2.36236,0.91258,0.01081,0.75,0.25645,0.18473,0.89147,3.84369,0.85707,0.00027352,0.00027352,0.00027352
10,543.817,1.04215,2.17428,0.90649,0.01224,0.8125,0.28066,0.18668,0.92561,3.84172,0.86214,0.000297903,0.000297903,0.000297903
11,581.608,0.9798,1.9904,0.87618,0.01167,0.75,0.27807,0.19833,0.91427,3.82123,0.87722,0.0003208,0.0003208,0.0003208
12,626.607,1.00775,1.85143,0.92698,0.00943,0.625,0.26402,0.20425,0.9775,3.8137,0.89317,0.000342213,0.000342213,0.000342213
13,663.145,1.01369,1.77228,0.90294,0.0129,0.8125,0.30253,0.219,0.78895,3.75424,0.85692,0.00036214,0.00036214,0.00036214
14,709.893,0.96781,1.75895,0.88184,0.01357,0.8125,0.31354,0.23739,0.75836,3.72544,0.86212,0.000380582,0.000380582,0.000380582
15,759.253,0.89964,1.64064,0.88254,0.01279,0.8125,0.35866,0.24032,0.85013,3.69357,0.88082,0.00039754,0.00039754,0.00039754
16,808.091,0.92806,1.56219,0.8824,0.01121,0.75,0.37978,0.25527,0.79436,3.67801,0.87534,0.000413012,0.000413012,0.000413012
17,851.976,0.85035,1.48894,0.88812,0.01204,0.8125,0.37898,0.28167,0.7976,3.62042,0.8689,0.000427,0.000427,0.000427
18,931.43,0.85549,1.4509,0.89299,0.012,0.8125,0.40447,0.28939,0.80959,3.5551,0.86223,0.000439502,0.000439502,0.000439502
19,969.81,0.87639,1.40252,0.87281,0.01196,0.8125,0.4639,0.31048,0.81166,3.51305,0.85445,0.00045052,0.00045052,0.00045052
20,1001.02,0.89,1.41235,0.86506,0.01139,0.75,0.4701,0.29971,0.82879,3.48127,0.85239,0.000460053,0.000460053,0.000460053
21,1032.26,0.8311,1.30952,0.87392,0.01194,0.8125,0.46798,0.2802,0.82447,3.40841,0.85216,0.0004681,0.0004681,0.0004681
22,1072.32,0.84947,1.30284,0.86337,0.01184,0.8125,0.47744,0.29135,0.81007,3.34328,0.85673,0.000474663,0.000474663,0.000474663
23,1113.56,0.78102,1.22079,0.84467,0.01298,0.875,0.47139,0.31919,0.77344,3.27544,0.85155,0.00047974,0.00047974,0.00047974
24,1158.02,0.81003,1.18277,0.86526,0.01353,0.9375,0.47047,0.35961,0.80164,3.23771,0.8701,0.000483333,0.000483333,0.000483333
25,1197.06,0.83958,1.17242,0.85681,0.01127,0.8125,0.49998,0.38287,0.82773,3.15147,0.87864,0.00048544,0.00048544,0.00048544
26,1237.86,0.76693,1.11235,0.86276,0.01218,0.875,0.66734,0.51858,0.75378,3.05161,0.85395,0.000486063,0.000486063,0.000486063
27,1271.79,0.81831,1.08347,0.85948,0.014,1,0.78748,0.64831,0.71658,2.95803,0.84777,0.0004852,0.0004852,0.0004852
28,1314.44,0.79752,1.10844,0.87885,0.01385,1,0.96167,0.78169,0.74752,2.86518,0.85104,0.000482852,0.000482852,0.000482852
29,1354.88,0.73623,1.0395,0.85574,0.01385,1,0.96167,0.78169,0.74752,2.86518,0.85104,0.00047902,0.00047902,0.00047902
